Source,Destination,Distance_km,Fuel_Price,Peak_Season,Travel_Mode,Hotel_Type,Food_Preference,Days,Travelers,Cost,"Weather (Sunny, Rainy, Snowy, Cloudy)","Holiday Type (Festival, Weekend, Vacation, Business)",Discount (Yes/No),Travel Insurance (Yes/No),Start_Date,End_Date,Trip_Duration,Start_Month,Start_Year,Travel_Class,Price_Multiplier
Pune,Lucknow,1515,105.79,No,Train,Standard,Non-Veg,3,2,28521.79,Rainy,Festival,No,Yes,21-09-2024,24-09-2024,3,9,2024,EconomyA,1.4
Kolkata,Varanasi,749,104.14,No,Train,Luxury,Non-Veg,4,4,162762.88,Rainy,Vacation,No,Yes,04-02-2025,08-02-2025,4,2,2025,2A,1.2
Udaipur,Bhopal,455,109.6,No,Car,Budget,Vegan,11,2,31492.52,Sunny,Weekend,No,No,29-03-2024,09-04-2024,11,3,2024,Economy,1
Bangalore,Chandigarh,2277,100.9,No,Flight,Luxury,Non-Veg,6,1,53738.67,Cloudy,Weekend,No,No,10-04-2025,16-04-2025,6,4,2025,Business,1.8
Pune,Jaipur,1354,106.82,No,Train,Standard,Vegan,12,1,50362.15,Cloudy,Weekend,No,Yes,14-05-2025,26-05-2025,12,5,2025,SL,0.7
Hyderabad,Bangalore,666,110.61,No,Flight,Luxury,Veg,9,1,97158.12,Rainy,Festival,No,No,21-02-2024,01-03-2024,9,2,2024,Business,1.8
Rishikesh,Goa,2375,97.91,No,Train,Standard,Veg,10,3,103586.18,Cloudy,Weekend,Yes,Yes,29-07-2024,08-08-2024,10,7,2024,EconomyA,1.4
Bhopal,Ahmedabad,538,110.27,No,Car,Standard,Vegan,15,5,187818.45,Cloudy,Weekend,No,No,24-04-2025,09-05-2025,15,4,2025,Economy,1
Nagpur,Kolkata,1354,106.36,No,Flight,Standard,Veg,13,1,41035.03,Cloudy,Weekend,Yes,Yes,10-07-2024,23-07-2024,13,7,2024,Economy,1
Chandigarh,Kolkata,1622,93.3,No,Train,Standard,Non-Veg,4,2,44977.83,Cloudy,Weekend,No,No,09-05-2025,13-05-2025,4,5,2025,SL,0.7
Agra,Nagpur,816,98.17,No,Flight,Luxury,Non-Veg,9,1,52141.67,Sunny,Weekend,No,Yes,15-06-2024,24-06-2024,9,6,2024,Economy,1
Varanasi,Delhi,867,95.99,No,Train,Budget,Veg,2,5,31094.21,Sunny,Weekend,No,Yes,24-01-2024,26-01-2024,2,1,2024,2A,1.2
Lucknow,Ahmedabad,1230,96.11,No,Train,Standard,Non-Veg,12,2,95557.51,Sunny,Weekend,No,No,10-06-2025,22-06-2025,12,6,2025,2A,1.2
Ahmedabad,Chennai,1773,96.52,No,Train,Budget,Mixed,15,2,52965.05,Sunny,Weekend,No,No,15-06-2024,30-06-2024,15,6,2024,2A,1.2
Lucknow,Nagpur,805,95.22,No,Flight,Standard,Veg,2,1,11919.96,Sunny,Weekend,Yes,Yes,17-08-2024,19-08-2024,2,8,2024,Economy,1
Varanasi,Indore,1135,95.11,No,Flight,Luxury,Veg,7,2,128296.83,Sunny,Vacation,No,No,01-08-2025,08-08-2025,7,8,2025,Premium Economy,1.3
Ahmedabad,Kolkata,1991,95.22,No,Flight,Standard,Non-Veg,11,1,50177.36,Sunny,Business,No,No,19-07-2024,30-07-2024,11,7,2024,Business,1.8
Varanasi,Goa,1974,95.44,No,Flight,Budget,Non-Veg,5,2,44046.01,Rainy,Vacation,Yes,No,18-04-2025,23-04-2025,5,4,2025,Economy,1
Rishikesh,Chandigarh,181,94.2,No,Train,Budget,Mixed,8,2,20360.07,Sunny,Vacation,No,Yes,23-01-2024,31-01-2024,8,1,2024,3A,1
Agra,Surat,1183,97.88,No,Train,Budget,Mixed,2,2,15515.65,Sunny,Vacation,No,Yes,10-05-2024,12-05-2024,2,5,2024,EconomyA,1.4
Nagpur,Kolkata,1262,108.86,No,Flight,Standard,Veg,14,2,112002.01,Cloudy,Business,Yes,No,30-11-2024,14-12-2024,14,11,2024,Economy,1
Hyderabad,Kolkata,1507,109.02,No,Flight,Standard,Veg,12,3,156639.86,Sunny,Business,No,No,11-05-2024,23-05-2024,12,5,2024,Business,1.8
Chennai,Hyderabad,688,105.08,No,Train,Standard,Non-Veg,3,3,41198.86,Cloudy,Business,No,No,25-03-2024,28-03-2024,3,3,2024,3A,1
Pune,Delhi,1487,105.73,No,Flight,Standard,Non-Veg,13,1,59762.24,Sunny,Business,No,No,22-02-2025,07-03-2025,13,2,2025,Premium Economy,1.3
Mumbai,Lucknow,1542,106.8,No,Train,Standard,Vegan,7,3,65434.59,Sunny,Vacation,No,No,27-11-2024,04-12-2024,7,11,2024,3A,1
Jaipur,Chennai,2006,107.27,No,Train,Standard,Non-Veg,10,4,111890.18,Cloudy,Business,Yes,Yes,23-07-2024,02-08-2024,10,7,2024,SL,0.7
Pune,Chandigarh,1852,105.13,No,Train,Budget,Non-Veg,13,1,18451.56,Rainy,Business,No,Yes,05-03-2024,18-03-2024,13,3,2024,SL,0.7
Pune,Nagpur,739,107.57,No,Flight,Budget,Vegan,7,1,16358.61,Sunny,Vacation,No,No,09-10-2024,16-10-2024,7,10,2024,Economy,1
Jaipur,Goa,1674,109.52,No,Train,Luxury,Non-Veg,5,2,114118.96,Cloudy,Festival,No,Yes,27-04-2025,02-05-2025,5,4,2025,SL,0.7
Hyderabad,Lucknow,1498,108.82,No,Train,Budget,Veg,11,3,47540.29,Rainy,Business,No,No,13-02-2025,24-02-2025,11,2,2025,SL,0.7
Mumbai,Delhi,1366,109.81,No,Train,Budget,Mixed,8,3,40612.57,Cloudy,Vacation,Yes,No,21-08-2025,29-08-2025,8,8,2025,2A,1.2
Ahmedabad,Indore,463,97.04,No,Bus,Luxury,Non-Veg,14,3,193645.52,Sunny,Vacation,Yes,Yes,14-02-2024,28-02-2024,14,2,2024,Non-AC Sleeper,1.1
Chandigarh,Jaipur,514,95.97,Yes,Car,Luxury,Veg,7,2,95626.99,Sunny,Vacation,No,No,19-03-2024,26-03-2024,7,3,2024,Economy,1
Chandigarh,Udaipur,920,94.41,No,Flight,Luxury,Veg,13,3,241301.71,Sunny,Vacation,Yes,No,27-08-2024,09-09-2024,13,8,2024,Business,1.8
Bangalore,Hyderabad,587,102.93,No,Train,Luxury,Veg,14,1,116152.03,Rainy,Weekend,No,Yes,14-10-2024,28-10-2024,14,10,2024,EconomyA,1.4
Chennai,Pune,1113,103.69,No,Flight,Standard,Veg,13,3,107586.13,Sunny,Weekend,No,No,21-04-2025,04-05-2025,13,4,2025,Economy,1
Delhi,Ahmedabad,1032,95.4,No,Train,Standard,Mixed,3,4,48875.07,Cloudy,Festival,No,No,04-02-2024,07-02-2024,3,2,2024,EconomyA,1.4
Pune,Bhopal,772,104.16,No,Flight,Standard,Veg,8,1,29542.96,Sunny,Vacation,No,No,31-10-2024,08-11-2024,8,10,2024,Premium Economy,1.3
Hyderabad,Chandigarh,1811,107.67,No,Flight,Standard,Veg,2,3,56432.07,Sunny,Vacation,Yes,No,21-08-2025,23-08-2025,2,8,2025,Business,1.8
Lucknow,Nagpur,793,96.13,No,Car,Standard,Veg,4,4,39515.65,Sunny,Vacation,Yes,No,20-04-2025,24-04-2025,4,4,2025,Economy,1
Jaipur,Rishikesh,518,109.06,No,Train,Luxury,Mixed,3,1,21433.19,Sunny,Festival,Yes,No,11-11-2024,14-11-2024,3,11,2024,EconomyA,1.4
Kolkata,Lucknow,964,105.03,No,Train,Luxury,Veg,11,2,146807.52,Sunny,Festival,No,No,07-05-2024,18-05-2024,11,5,2024,EconomyA,1.4
Surat,Hyderabad,814,97.66,No,Train,Standard,Veg,5,3,68294.86,Rainy,Vacation,Yes,Yes,23-03-2024,28-03-2024,5,3,2024,3A,1
Ahmedabad,Agra,897,95.55,No,Flight,Budget,Non-Veg,13,2,44272.11,Sunny,Vacation,Yes,Yes,09-08-2025,22-08-2025,13,8,2025,Business,1.8
Agra,Indore,780,97.69,No,Flight,Standard,Veg,7,5,126795.62,Cloudy,Festival,No,No,21-01-2024,28-01-2024,7,1,2024,Business,1.8
Hyderabad,Pune,689,107.44,No,Train,Resort,Mixed,3,2,40516.95,Sunny,Weekend,Yes,No,08-03-2025,11-03-2025,3,3,2025,2A,1.2
Indore,Lucknow,910,109.8,No,Bus,Luxury,Veg,7,2,85477.19,Cloudy,Weekend,Yes,Yes,22-05-2024,29-05-2024,7,5,2024,Non-AC Sleeper,1.1
Nagpur,Bhopal,334,105.88,No,Car,Budget,Veg,3,5,21655.08,Sunny,Business,No,No,12-02-2025,15-02-2025,3,2,2025,Economy,1
Chennai,Mumbai,1203,105.67,No,Train,Luxury,Veg,5,1,36096.79,Rainy,Business,Yes,No,16-01-2024,21-01-2024,5,1,2024,2A,1.2
Varanasi,Chandigarh,1176,98.26,No,Train,Budget,Vegan,11,4,69336.73,Rainy,Weekend,Yes,No,09-03-2024,20-03-2024,11,3,2024,2A,1.2
Pune,Varanasi,1447,105.09,No,Train,Luxury,Veg,9,3,176149.74,Rainy,Vacation,Yes,Yes,01-08-2024,10-08-2024,9,8,2024,EconomyA,1.4
Goa,Jaipur,1472,97.78,No,Train,Standard,Veg,14,1,39637.4,Rainy,Vacation,No,Yes,11-05-2024,25-05-2024,14,5,2024,EconomyA,1.4
Udaipur,Delhi,819,111.65,No,Flight,Standard,Non-Veg,3,3,59186.71,Sunny,Vacation,No,Yes,17-04-2025,20-04-2025,3,4,2025,Economy,1
Chandigarh,Bhopal,969,96.21,No,Car,Luxury,Veg,14,3,219437.46,Cloudy,Business,No,No,08-04-2025,22-04-2025,14,4,2025,Economy,1
Varanasi,Indore,1112,96.84,No,Train,Budget,Veg,14,5,89370.14,Sunny,Vacation,No,No,05-07-2025,19-07-2025,14,7,2025,EconomyA,1.4
Rishikesh,Bhopal,943,94.18,No,Flight,Luxury,Veg,5,2,70315.01,Sunny,Vacation,No,No,24-01-2024,29-01-2024,5,1,2024,Business,1.8
Chandigarh,Indore,1164,93.38,No,Flight,Standard,Vegan,9,4,119461.73,Sunny,Weekend,Yes,No,04-08-2025,13-08-2025,9,8,2025,Premium Economy,1.3
Nagpur,Jaipur,946,106.6,No,Train,Standard,Vegan,11,1,41000.25,Sunny,Weekend,No,No,06-08-2025,17-08-2025,11,8,2025,SL,0.7
Surat,Rishikesh,1522,95.14,No,Train,Standard,Veg,5,3,59369.39,Cloudy,Weekend,No,No,14-12-2024,19-12-2024,5,12,2024,2A,1.2
Mumbai,Ahmedabad,517,109.68,No,Bus,Standard,Veg,5,4,41555.9,Cloudy,Vacation,No,Yes,08-02-2024,13-02-2024,5,2,2024,Non-AC Seater,1
Ahmedabad,Nagpur,845,98.9,No,Car,Budget,Vegan,3,2,14098.69,Sunny,Vacation,No,Yes,14-10-2024,17-10-2024,3,10,2024,Economy,1
Hyderabad,Nagpur,483,110.94,No,Car,Standard,Veg,13,1,44080.25,Sunny,Festival,No,No,05-11-2024,18-11-2024,13,11,2024,Economy,1
Bhopal,Goa,1087,109.94,No,Train,Luxury,Veg,4,5,185639.79,Cloudy,Vacation,No,No,19-03-2025,23-03-2025,4,3,2025,2A,1.2
Agra,Nagpur,765,97.55,No,Car,Budget,Veg,3,2,8864.14,Cloudy,Vacation,No,No,21-08-2024,24-08-2024,3,8,2024,Economy,1
Pune,Rishikesh,1873,108.16,No,Flight,Standard,Non-Veg,3,2,60735.78,Sunny,Weekend,No,Yes,08-07-2025,11-07-2025,3,7,2025,Business,1.8
Indore,Udaipur,374,111.36,No,Car,Budget,Veg,11,3,41950.5,Sunny,Weekend,Yes,No,30-07-2024,10-08-2024,11,7,2024,Economy,1
Chandigarh,Kolkata,2012,94.62,No,Flight,Luxury,Veg,5,1,44503.01,Rainy,Business,Yes,Yes,18-04-2025,23-04-2025,5,4,2025,Premium Economy,1.3
Chennai,Bangalore,327,105.55,No,Train,Budget,Veg,9,1,17599.45,Sunny,Business,No,No,20-05-2025,29-05-2025,9,5,2025,2A,1.2
Bangalore,Nagpur,1193,104.31,No,Flight,Budget,Mixed,10,2,50837.53,Sunny,Business,No,No,21-08-2025,31-08-2025,10,8,2025,Economy,1
Delhi,Bhopal,734,95.36,No,Train,Luxury,Veg,3,2,44642,Sunny,Vacation,No,Yes,28-06-2024,01-07-2024,3,6,2024,EconomyA,1.4
Kerala,Hyderabad,983,108.17,No,Flight,Budget,Veg,4,3,48610.5,Rainy,Weekend,No,No,28-06-2025,02-07-2025,4,6,2025,Premium Economy,1.3
Nagpur,Rishikesh,1398,107.85,No,Train,Luxury,Non-Veg,7,1,62422.3,Cloudy,Festival,Yes,No,07-08-2025,14-08-2025,7,8,2025,2A,1.2
Mumbai,Nagpur,885,108.16,No,Flight,Luxury,Veg,3,2,59340.62,Sunny,Vacation,No,Yes,05-07-2025,08-07-2025,3,7,2025,Business,1.8
Ahmedabad,Indore,427,98.05,No,Train,Luxury,Non-Veg,5,4,110710.73,Rainy,Vacation,No,Yes,23-07-2025,28-07-2025,5,7,2025,2A,1.2
Pune,Varanasi,1415,107.38,No,Flight,Budget,Veg,7,5,131265.9,Sunny,Business,No,No,30-05-2025,06-06-2025,7,5,2025,Business,1.8
Goa,Hyderabad,626,95.46,No,Car,Luxury,Non-Veg,14,3,185242.4,Rainy,Vacation,No,No,15-12-2024,29-12-2024,14,12,2024,Economy,1
Kolkata,Bhopal,1492,104.11,No,Flight,Standard,Non-Veg,13,2,93148.92,Sunny,Business,Yes,No,06-12-2024,19-12-2024,13,12,2024,Business,1.8
Udaipur,Mumbai,747,111.4,No,Flight,Standard,Mixed,4,4,91849.63,Rainy,Business,Yes,Yes,01-08-2025,05-08-2025,4,8,2025,Business,1.8
Rishikesh,Kolkata,1589,94.26,No,Flight,Budget,Veg,6,3,78525.43,Cloudy,Business,No,No,21-03-2024,27-03-2024,6,3,2024,Premium Economy,1.3
Kerala,Surat,1780,107.78,No,Car,Standard,Veg,8,2,49082.65,Sunny,Weekend,No,No,27-05-2025,04-06-2025,8,5,2025,Economy,1
Bhopal,Surat,572,109.36,No,Train,Resort,Veg,11,1,93284.45,Sunny,Weekend,Yes,No,13-05-2024,24-05-2024,11,5,2024,EconomyA,1.4
Kolkata,Bhopal,1417,106.39,No,Flight,Budget,Veg,4,1,18865.29,Cloudy,Weekend,No,Yes,07-02-2024,11-02-2024,4,2,2024,Premium Economy,1.3
Delhi,Rishikesh,256,94.1,No,Car,Luxury,Veg,7,2,142411.59,Sunny,Festival,No,No,28-01-2025,04-02-2025,7,1,2025,Economy,1
Goa,Hyderabad,747,96.83,No,Train,Standard,Veg,6,1,13182.91,Cloudy,Weekend,Yes,No,21-02-2024,27-02-2024,6,2,2024,SL,0.7
Jaipur,Bangalore,1963,110.3,No,Flight,Standard,Non-Veg,15,1,61451.13,Rainy,Weekend,No,No,08-07-2024,23-07-2024,15,7,2024,Premium Economy,1.3
Agra,Jaipur,306,96.91,Yes,Car,Resort,Vegan,7,3,244712.63,Cloudy,Vacation,No,Yes,25-10-2024,01-11-2024,7,10,2024,Economy,1
Nagpur,Ahmedabad,880,107.54,No,Flight,Budget,Veg,6,2,21821.06,Sunny,Vacation,Yes,No,07-03-2025,13-03-2025,6,3,2025,Economy,1
Lucknow,Surat,1417,97.66,No,Car,Luxury,Vegan,13,1,98849.24,Cloudy,Vacation,No,No,30-04-2024,13-05-2024,13,4,2024,Economy,1
Surat,Jaipur,865,97.82,Yes,Flight,Budget,Vegan,2,1,10981.95,Rainy,Business,Yes,No,30-03-2024,01-04-2024,2,3,2024,Economy,1
Bhopal,Lucknow,631,110.85,No,Train,Luxury,Veg,2,2,31149.51,Rainy,Weekend,No,Yes,22-08-2025,24-08-2025,2,8,2025,3A,1
Chandigarh,Hyderabad,1691,95.54,No,Flight,Standard,Mixed,12,5,203260.65,Sunny,Vacation,No,No,17-04-2025,29-04-2025,12,4,2025,Economy,1
Delhi,Chandigarh,322,95.96,No,Train,Budget,Veg,10,2,19905.44,Sunny,Business,Yes,Yes,14-02-2025,24-02-2025,10,2,2025,3A,1
Jaipur,Kerala,2320,108.32,Yes,Train,Standard,Veg,10,1,45310.19,Cloudy,Vacation,Yes,No,08-01-2024,18-01-2024,10,1,2024,SL,0.7
Nagpur,Agra,960,105.15,No,Train,Standard,Veg,15,3,90598.93,Sunny,Vacation,Yes,No,23-07-2025,07-08-2025,15,7,2025,3A,1
Bhopal,Rishikesh,898,110.7,No,Flight,Standard,Mixed,14,2,77563.53,Sunny,Business,Yes,No,26-01-2024,09-02-2024,14,1,2024,Premium Economy,1.3
Bangalore,Indore,1341,102.53,No,Flight,Budget,Mixed,7,3,77396.86,Cloudy,Vacation,No,Yes,05-01-2024,12-01-2024,7,1,2024,Economy,1
Rishikesh,Bhopal,889,96.12,No,Flight,Budget,Non-Veg,12,2,42980.43,Sunny,Business,Yes,Yes,25-06-2025,07-07-2025,12,6,2025,Business,1.8
Bhopal,Rishikesh,915,107.88,Yes,Flight,Budget,Non-Veg,13,2,58171.11,Rainy,Vacation,No,No,15-05-2024,28-05-2024,13,5,2024,Economy,1
Varanasi,Lucknow,374,98.36,No,Flight,Budget,Non-Veg,9,3,56867.45,Sunny,Vacation,No,No,07-04-2024,16-04-2024,9,4,2024,Business,1.8
Hyderabad,Chennai,722,108.99,No,Train,Standard,Mixed,11,4,160523.53,Sunny,Business,Yes,No,14-02-2024,25-02-2024,11,2,2024,2A,1.2
Chennai,Pune,1140,105.98,No,Flight,Budget,Vegan,14,2,62643.41,Sunny,Weekend,No,No,10-12-2024,24-12-2024,14,12,2024,Economy,1
Jaipur,Kerala,2091,109.04,No,Flight,Budget,Veg,8,1,28988.38,Cloudy,Weekend,Yes,No,26-04-2024,04-05-2024,8,4,2024,Economy,1
Lucknow,Jaipur,631,97.91,Yes,Flight,Budget,Non-Veg,14,2,68662.31,Cloudy,Vacation,No,Yes,27-03-2025,10-04-2025,14,3,2025,Economy,1
Agra,Udaipur,633,95.84,Yes,Car,Luxury,Veg,6,1,52114.82,Sunny,Vacation,Yes,No,13-11-2024,19-11-2024,6,11,2024,Economy,1
Nagpur,Bhopal,357,107.93,No,Car,Budget,Non-Veg,6,4,28104.03,Sunny,Vacation,No,No,13-02-2024,19-02-2024,6,2,2024,Economy,1
Indore,Hyderabad,904,109.08,No,Flight,Budget,Veg,11,2,51287.3,Rainy,Business,No,No,26-03-2024,06-04-2024,11,3,2024,Premium Economy,1.3
Chandigarh,Ahmedabad,1118,96.25,No,Train,Luxury,Mixed,2,2,27403.12,Rainy,Vacation,No,Yes,28-08-2024,30-08-2024,2,8,2024,2A,1.2
Varanasi,Surat,1310,97.68,No,Car,Budget,Veg,11,3,49893.16,Sunny,Weekend,No,No,11-03-2024,22-03-2024,11,3,2024,Economy,1
Lucknow,Delhi,474,95.23,No,Train,Budget,Vegan,11,1,17424.7,Sunny,Vacation,Yes,No,14-02-2024,25-02-2024,11,2,2024,2A,1.2
Ahmedabad,Bhopal,632,95.58,No,Flight,Budget,Veg,2,4,34700.04,Sunny,Business,Yes,Yes,23-02-2025,25-02-2025,2,2,2025,Economy,1
Surat,Varanasi,1372,98.09,No,Flight,Budget,Veg,14,3,105091,Sunny,Festival,Yes,Yes,24-02-2024,09-03-2024,14,2,2024,Business,1.8
Indore,Nagpur,476,107.83,No,Train,Luxury,Veg,14,1,65518.61,Sunny,Weekend,Yes,Yes,09-01-2024,23-01-2024,14,1,2024,2A,1.2
Indore,Udaipur,352,109.19,No,Train,Luxury,Non-Veg,12,1,104467.87,Sunny,Vacation,Yes,No,03-03-2024,15-03-2024,12,3,2024,EconomyA,1.4
Chennai,Pune,1139,103.04,No,Train,Budget,Vegan,14,2,33238.14,Sunny,Vacation,No,Yes,26-02-2025,12-03-2025,14,2,2025,EconomyA,1.4
Pune,Chandigarh,2009,109.48,No,Flight,Standard,Veg,15,3,131258.93,Sunny,Vacation,Yes,Yes,03-02-2025,18-02-2025,15,2,2025,Business,1.8
Kerala,Chandigarh,2932,108.12,No,Car,Resort,Veg,10,5,309244,Rainy,Weekend,No,No,21-09-2024,01-10-2024,10,9,2024,Economy,1
Surat,Bhopal,574,97.46,No,Car,Standard,Veg,10,4,105819.16,Sunny,Weekend,No,No,11-03-2024,21-03-2024,10,3,2024,Economy,1
Lucknow,Indore,982,98.76,No,Flight,Budget,Veg,10,1,21954.04,Rainy,Vacation,No,No,30-07-2025,09-08-2025,10,7,2025,Business,1.8
Goa,Surat,919,97.59,No,Train,Standard,Non-Veg,5,1,20869.28,Rainy,Weekend,No,No,12-07-2024,17-07-2024,5,7,2024,SL,0.7
Lucknow,Jaipur,630,98.67,No,Car,Standard,Veg,13,2,72577.72,Rainy,Weekend,No,Yes,04-05-2024,17-05-2024,13,5,2024,Economy,1
Rishikesh,Hyderabad,1958,97.45,No,Flight,Resort,Non-Veg,7,3,176448.16,Cloudy,Business,Yes,No,01-01-2024,08-01-2024,7,1,2024,Premium Economy,1.3
Rishikesh,Bhopal,946,96.91,No,Train,Resort,Veg,2,1,16212.67,Sunny,Business,No,Yes,14-06-2025,16-06-2025,2,6,2025,SL,0.7
Rishikesh,Kerala,2848,97.44,No,Bus,Standard,Veg,4,1,29180.38,Sunny,Vacation,No,Yes,10-11-2024,14-11-2024,4,11,2024,AC Seater,1.15
Agra,Jaipur,269,96.57,No,Train,Luxury,Mixed,5,1,41878.39,Rainy,Weekend,No,Yes,11-04-2025,16-04-2025,5,4,2025,3A,1
Goa,Chennai,847,96.45,No,Bus,Budget,Mixed,9,1,19116.53,Sunny,Business,No,Yes,01-03-2024,10-03-2024,9,3,2024,Non-AC Sleeper,1.1
Mumbai,Ahmedabad,558,109.81,No,Train,Standard,Veg,14,3,96375.44,Rainy,Weekend,No,Yes,15-01-2024,29-01-2024,14,1,2024,3A,1
Chandigarh,Varanasi,978,93.54,No,Flight,Budget,Non-Veg,4,2,40224.26,Sunny,Business,No,Yes,07-04-2025,11-04-2025,4,4,2025,Economy,1
Agra,Bangalore,1723,98.07,No,Flight,Budget,Veg,4,1,20612.04,Sunny,Weekend,No,No,07-09-2024,11-09-2024,4,9,2024,Economy,1
Pune,Mumbai,150,108.38,No,Bus,Standard,Mixed,13,1,44943.93,Sunny,Festival,No,No,26-08-2024,08-09-2024,13,8,2024,Non-AC Seater,1
Mumbai,Hyderabad,834,106.18,No,Flight,Standard,Vegan,10,2,77236.27,Sunny,Business,No,Yes,23-11-2024,03-12-2024,10,11,2024,Economy,1
Ahmedabad,Nagpur,835,97.26,No,Train,Luxury,Non-Veg,5,4,122530.77,Rainy,Weekend,No,Yes,23-03-2025,28-03-2025,5,3,2025,SL,0.7
Chennai,Bhopal,1376,102.37,No,Train,Budget,Veg,10,2,25956.33,Cloudy,Weekend,No,No,13-08-2024,23-08-2024,10,8,2024,2A,1.2
Bangalore,Ahmedabad,1379,101.41,No,Train,Resort,Non-Veg,8,2,195533.42,Rainy,Vacation,No,Yes,18-08-2025,26-08-2025,8,8,2025,SL,0.7
Varanasi,Udaipur,1146,98.16,No,Flight,Standard,Non-Veg,15,1,56965.97,Cloudy,Vacation,No,No,14-06-2024,29-06-2024,15,6,2024,Premium Economy,1.3
Hyderabad,Kerala,1076,107.45,No,Flight,Luxury,Mixed,10,2,187151.07,Cloudy,Festival,Yes,No,22-09-2024,02-10-2024,10,9,2024,Business,1.8
Delhi,Indore,942,96.1,No,Train,Budget,Veg,12,1,10489.68,Sunny,Weekend,Yes,No,29-03-2024,10-04-2024,12,3,2024,2A,1.2
Delhi,Udaipur,720,96.79,Yes,Train,Standard,Veg,8,1,24006.14,Cloudy,Vacation,Yes,Yes,02-02-2024,10-02-2024,8,2,2024,2A,1.2
Agra,Mumbai,1535,95.89,No,Flight,Standard,Veg,11,2,90707.92,Sunny,Business,Yes,No,15-05-2025,26-05-2025,11,5,2025,Business,1.8
Goa,Ahmedabad,1144,96.8,No,Flight,Luxury,Veg,14,3,228383.79,Rainy,Weekend,No,Yes,02-06-2024,16-06-2024,14,6,2024,Economy,1
Bhopal,Chandigarh,1027,108.56,No,Flight,Standard,Veg,14,2,103907.3,Sunny,Vacation,No,Yes,28-09-2024,12-10-2024,14,9,2024,Premium Economy,1.3
Kerala,Udaipur,1899,105.83,No,Flight,Standard,Veg,12,1,48666.14,Sunny,Festival,Yes,Yes,14-07-2025,26-07-2025,12,7,2025,Premium Economy,1.3
Agra,Pune,1123,96.63,No,Flight,Resort,Non-Veg,5,2,120147.35,Cloudy,Vacation,No,Yes,22-08-2025,27-08-2025,5,8,2025,Business,1.8
Rishikesh,Jaipur,568,95.87,No,Flight,Standard,Mixed,13,2,72863.01,Cloudy,Business,Yes,No,13-05-2024,26-05-2024,13,5,2024,Premium Economy,1.3
Hyderabad,Delhi,1591,111.37,No,Flight,Standard,Non-Veg,14,1,78908.86,Rainy,Weekend,No,No,18-02-2024,03-03-2024,14,2,2024,Economy,1
Jaipur,Chennai,2031,109.49,No,Train,Budget,Veg,7,1,13450.14,Sunny,Vacation,No,No,29-08-2024,05-09-2024,7,8,2024,3A,1
Chandigarh,Lucknow,746,95.97,No,Train,Budget,Non-Veg,7,2,20244,Cloudy,Weekend,No,No,01-08-2024,08-08-2024,7,8,2024,2A,1.2
Chandigarh,Udaipur,813,94.84,No,Train,Standard,Veg,14,4,113085.16,Cloudy,Vacation,Yes,No,16-03-2025,30-03-2025,14,3,2025,EconomyA,1.4
Pune,Indore,615,104.79,No,Flight,Budget,Vegan,12,1,20798.75,Sunny,Weekend,Yes,No,14-06-2024,26-06-2024,12,6,2024,Business,1.8
Chandigarh,Jaipur,563,94.79,No,Car,Luxury,Veg,12,3,195435.4,Cloudy,Weekend,No,Yes,29-07-2024,10-08-2024,12,7,2024,Economy,1
Varanasi,Chandigarh,1068,98.27,No,Flight,Standard,Vegan,9,2,69676.67,Sunny,Vacation,Yes,Yes,15-01-2025,24-01-2025,9,1,2025,Economy,1
Jaipur,Pune,1351,109.64,No,Bus,Standard,Veg,4,1,19568.16,Cloudy,Festival,No,Yes,09-07-2024,13-07-2024,4,7,2024,AC Sleeper,1.3
Kerala,Surat,1672,107.07,No,Flight,Luxury,Non-Veg,15,3,223606.18,Sunny,Weekend,Yes,No,14-03-2025,29-03-2025,15,3,2025,Premium Economy,1.3
Nagpur,Bangalore,1332,106.45,No,Flight,Budget,Veg,4,2,39773.87,Sunny,Business,Yes,Yes,12-10-2024,16-10-2024,4,10,2024,Premium Economy,1.3
Rishikesh,Bangalore,2208,97.39,No,Train,Budget,Veg,3,2,19141.57,Sunny,Business,Yes,No,14-09-2024,17-09-2024,3,9,2024,2A,1.2
Indore,Pune,733,111.55,No,Train,Budget,Veg,3,2,11764.51,Sunny,Weekend,No,No,07-06-2025,10-06-2025,3,6,2025,2A,1.2
Bangalore,Surat,1296,104.64,No,Flight,Standard,Veg,2,5,95506.7,Sunny,Vacation,Yes,Yes,21-07-2024,23-07-2024,2,7,2024,Business,1.8
Ahmedabad,Nagpur,979,95.96,No,Flight,Standard,Mixed,3,4,72505.53,Sunny,Festival,Yes,No,10-04-2025,13-04-2025,3,4,2025,Business,1.8
Chennai,Goa,818,101.08,Yes,Train,Luxury,Veg,11,4,315366.22,Sunny,Weekend,Yes,Yes,11-01-2025,22-01-2025,11,1,2025,3A,1
Ahmedabad,Varanasi,1162,98.84,Yes,Train,Budget,Mixed,2,1,7256.37,Cloudy,Vacation,Yes,No,15-10-2024,17-10-2024,2,10,2024,3A,1
Kerala,Surat,1650,108.78,No,Flight,Budget,Mixed,4,5,95910.07,Sunny,Vacation,No,No,28-05-2024,01-06-2024,4,5,2024,Economy,1
Surat,Indore,478,96.29,No,Train,Budget,Non-Veg,2,1,3738.03,Cloudy,Weekend,No,Yes,13-07-2024,15-07-2024,2,7,2024,EconomyA,1.4
